year,host,champion,runner_up,result,decision,source_url,last_checked
1930,Uruguay,Uruguay,Argentina,4–2,Regulation,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1930-1978-uruguay-italy-germany-brazil-england-argentina,2026-08-11
1934,Italy,Italy,Czechoslovakia,2–1,After extra time,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1930-1978-uruguay-italy-germany-brazil-england-argentina,2026-08-11
1938,France,Italy,Hungary,4–2,Regulation,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1930-1978-uruguay-italy-germany-brazil-england-argentina,2026-08-11
1950,Brazil,Uruguay,Brazil,2–1,Final-round decider,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1930-1978-uruguay-italy-germany-brazil-england-argentina,2026-08-11
1954,Switzerland,West Germany,Hungary,3–2,Regulation,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1930-1978-uruguay-italy-germany-brazil-england-argentina,2026-08-11
1958,Sweden,Brazil,Sweden,5–2,Regulation,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1930-1978-uruguay-italy-germany-brazil-england-argentina,2026-08-11
1962,Chile,Brazil,Czechoslovakia,3–1,Regulation,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1930-1978-uruguay-italy-germany-brazil-england-argentina,2026-08-11
1966,England,England,West Germany,4–2,After extra time,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1930-1978-uruguay-italy-germany-brazil-england-argentina,2026-08-11
1970,Mexico,Brazil,Italy,4–1,Regulation,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1930-1978-uruguay-italy-germany-brazil-england-argentina,2026-08-11
1974,West Germany,West Germany,Netherlands,2–1,Regulation,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1930-1978-uruguay-italy-germany-brazil-england-argentina,2026-08-11
1978,Argentina,Argentina,Netherlands,3–1,After extra time,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1930-1978-uruguay-italy-germany-brazil-england-argentina,2026-08-11
1982,Spain,Italy,West Germany,3–1,Regulation,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1982-2026-italy-argentina-germany-brazil-france-spain,2026-08-11
1986,Mexico,Argentina,West Germany,3–2,Regulation,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1982-2026-italy-argentina-germany-brazil-france-spain,2026-08-11
1990,Italy,West Germany,Argentina,1–0,Regulation,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1982-2026-italy-argentina-germany-brazil-france-spain,2026-08-11
1994,United States,Brazil,Italy,0–0; 3–2 pens,Penalty shootout,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1982-2026-italy-argentina-germany-brazil-france-spain,2026-08-11
1998,France,France,Brazil,3–0,Regulation,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1982-2026-italy-argentina-germany-brazil-france-spain,2026-08-11
2002,Korea Republic / Japan,Brazil,Germany,2–0,Regulation,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1982-2026-italy-argentina-germany-brazil-france-spain,2026-08-11
2006,Germany,Italy,France,1–1; 5–3 pens,Penalty shootout,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1982-2026-italy-argentina-germany-brazil-france-spain,2026-08-11
2010,South Africa,Spain,Netherlands,1–0,After extra time,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1982-2026-italy-argentina-germany-brazil-france-spain,2026-08-11
2014,Brazil,Germany,Argentina,1–0,After extra time,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1982-2026-italy-argentina-germany-brazil-france-spain,2026-08-11
2018,Russia,France,Croatia,4–2,Regulation,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1982-2026-italy-argentina-germany-brazil-france-spain,2026-08-11
2022,Qatar,Argentina,France,3–3; 4–2 pens,Penalty shootout,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1982-2026-italy-argentina-germany-brazil-france-spain,2026-08-11
2026,Canada / Mexico / United States,Spain,Argentina,1–0,After extra time,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1982-2026-italy-argentina-germany-brazil-france-spain,2026-08-11
