"pathname","status","title","description","canonical","robots","h1_count","server_words","og_image","twitter_card","hreflang","schema_types"
"/","200","WATCHWORLDCUP IPTV — M3U Subscriptions for Live TV &amp; Entertainment","Choose a WATCHWORLDCUP IPTV or M3U subscription for available live TV, sports, movies and series. Compare plans and order through WhatsApp.","https://watchworldcup.us","index, follow","1","853","https://watchworldcup.us/images/og/home.webp","summary_large_image","","Answer|FAQPage|ImageObject|Organization|Question|Service|WebSite"
"/live-tv","200","Live TV IPTV Categories — WATCHWORLDCUP M3U Service | WATCHWORLDCUP","Explore the WATCHWORLDCUP live TV service structure for available sports, news, entertainment, kids, music, documentary and international categories.","https://watchworldcup.us/live-tv","index, follow","1","509","https://watchworldcup.us/images/og/live-tv.webp","summary_large_image","","Answer|BreadcrumbList|FAQPage|ListItem|Question"
"/sports","200","Sports &amp; Football IPTV — Check Current Availability | WATCHWORLDCUP","Ask WATCHWORLDCUP about currently available football, sports and live-event IPTV coverage. No official rights, league or broadcaster affiliation is implied.","https://watchworldcup.us/sports","index, follow","1","460","https://watchworldcup.us/images/og/sports.webp","summary_large_image","","Answer|BreadcrumbList|FAQPage|ListItem|Question"
"/movies","200","Movies with WATCHWORLDCUP IPTV — Catalog Availability | WATCHWORLDCUP","Explore how movie access works with WATCHWORLDCUP IPTV. Request current genres, languages, quality and title availability before ordering.","https://watchworldcup.us/movies","index, follow","1","439","https://watchworldcup.us/images/og/movies.webp","summary_large_image","","Answer|BreadcrumbList|FAQPage|ListItem|Question"
"/series","200","TV Series with WATCHWORLDCUP IPTV — Current Availability | WATCHWORLDCUP","Learn how to confirm current TV series, season, episode, genre, language and quality availability with WATCHWORLDCUP IPTV before ordering.","https://watchworldcup.us/series","index, follow","1","408","https://watchworldcup.us/images/og/series.webp","summary_large_image","","Answer|BreadcrumbList|FAQPage|ListItem|Question"
"/pricing","200","WATCHWORLDCUP IPTV Pricing — 3 Months, 6 Months or 1 Year | WATCHWORLDCUP","Compare WATCHWORLDCUP IPTV and M3U subscription prices: $25 for 3 months, $38 for 6 months, or $62 for 1 year. Order through WhatsApp.","https://watchworldcup.us/pricing","index, follow","1","755","https://watchworldcup.us/images/og/pricing.webp","summary_large_image","","Answer|BreadcrumbList|FAQPage|ListItem|Question"
"/order","200","Order WATCHWORLDCUP IPTV — Choose Plan &amp; Continue on WhatsApp | WATCHWORLDCUP","Select a WATCHWORLDCUP IPTV/M3U plan, add optional country and device compatibility details, then continue the order through WhatsApp.","https://watchworldcup.us/order","index, follow","1","478","https://watchworldcup.us/images/og/order.webp","summary_large_image","","Answer|BreadcrumbList|FAQPage|ListItem|Question"
"/setup-guides","200","IPTV M3U Setup Guide — TV, Android, iPhone, Fire TV &amp; Desktop | WATCHWORLDCUP","Prepare and configure WATCHWORLDCUP IPTV or M3U subscription details in a compatible IPTV application on supported device families.","https://watchworldcup.us/setup-guides","index, follow","1","676","https://watchworldcup.us/images/og/setup-guides.webp","summary_large_image","","Answer|BreadcrumbList|FAQPage|ListItem|Question"
"/world-cup-2026","200","World Cup 2026 Archive — Format, Teams, Hosts &amp; Replays | WATCHWORLDCUP","Explore the completed World Cup 2026 tournament format, stage dates, teams, host cities, and authorized replay information.","https://watchworldcup.us/world-cup-2026","index, follow","1","571","https://watchworldcup.us/images/og/world-cup-2026.webp","summary_large_image","","Answer|BreadcrumbList|Country|FAQPage|ListItem|Organization|Question|SportsEvent"
"/world-cup-2026/final","200","World Cup 2026 Final — Spain 1–0 Argentina After Extra Time | WATCHWORLDCUP","A source-linked archive of the World Cup 2026 final: Spain beat Argentina 1–0 after extra time through Ferran Torres’s 106th-minute goal.","https://watchworldcup.us/world-cup-2026/final","index, follow","1","542","https://watchworldcup.us/images/og/world-cup-2026--final.webp","summary_large_image","","Answer|Article|BreadcrumbList|FAQPage|ListItem|Organization|Place|PostalAddress|Question|SportsEvent|SportsTeam|WebPage"
"/world-cup-2026/final-standings","200","World Cup 2026 Final Standings — All 48 Teams Ranked | WATCHWORLDCUP","Browse the official World Cup 2026 final tournament standings from Spain at number one through all 48 teams, with finish and downloadable CSV.","https://watchworldcup.us/world-cup-2026/final-standings","index, follow","1","655","https://watchworldcup.us/images/og/world-cup-2026--final-standings.webp","summary_large_image","","Article|BreadcrumbList|DataDownload|Dataset|ListItem|Organization|WebPage"
